name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse
1021,110.0,,,1.02968,PQ,10271-1,0,ARDNACRUSHA,ARDNACRUSHA,1.0,4.0,4.0,IE,7.8333
1031,110.0,,,1.02506,PQ,,0,BALRUNTAGH,BALRUNTAGH,1.0,7.0,7.0,IE,1.5634
1041,110.0,,,1.00602,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,10.985
1042,220.0,,,1.0,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,13.2279
1052,220.0,,,1.0,PQ,,0,AGHADA_B,AGHADA_B,1.0,10.0,10.0,IE,13.2279
1061,110.0,,,1.04408,PQ,,0,ARIGNA,ARIGNA,1.0,1.0,1.0,IE,2.8433
1062,220.0,,,1.0,PQ,,0,AGH_AT14,AGH_AT14,1.0,10.0,10.0,IE,13.2279
1071,110.0,,,1.04281,PQ,,0,AGANNYGAL,AGANNYGAL,1.0,4.0,4.0,IE,5.5677
1072,220.0,,,1.00001,PQ,,0,AGHT2102,AGHT2102,1.0,10.0,10.0,IE,13.2167
1081,110.0,,,1.02704,PQ,,0,AHANE,AHANE,1.0,8.0,8.0,IE,7.7625
1091,110.0,,,1.00705,PQ,,0,ADAMSTOWN,ADAMSTOWN,1.0,11.0,11.0,IE,-0.3781
1101,110.0,,,1.00005,PQ,,0,ANNER,ANNER,1.0,8.0,8.0,IE,6.8375
1121,110.0,,,1.01551,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,5.2084
1122,220.0,,,1.00945,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,5.7927
1131,110.0,,,1.04724,PQ,,0,ATHEA,ATHEA,1.0,5.0,5.0,IE,8.7798
1141,110.0,,,1.04419,PQ,,0,ATHLONE,ATHLONE,1.0,3.0,3.0,IE,2.9765
1151,110.0,,,1.00474,PQ,,0,BALLINKNOCKA,BALLINKNOCKA,1.0,5.0,5.0,IE,11.4199
1161,110.0,,,1.0,PQ,,0,AUGHINISH,AUGHINISH,1.0,5.0,5.0,IE,11.8872
1181,110.0,,,1.03996,PQ,,0,ARVA,ARVA,1.0,7.0,7.0,IE,1.2878
1201,110.0,,,1.00783,PQ,,0,ARTANE,ARTANE,1.0,11.0,11.0,IE,3.4282
1211,110.0,,,1.0,PQ,12101-XX,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,9.9304
1212,220.0,,,1.01076,PQ,,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,9.9276
1221,110.0,,,1.04053,PQ,,0,ATHY,ATHY,1.0,11.0,11.0,IE,4.3918
1231,110.0,,,1.02903,PQ,,0,BALLYWATER,BALLYWATER,1.0,9.0,9.0,IE,6.824
1243,365.0,,,1.00422,PQ,,0,CELTIC,CELTIC,2.0,10.0,10.0,IE,11.9049
1244,380.0,,,1.00644,PQ,,0,CELTIC,CELTIC,1.0,10.0,10.0,IE,11.9049
1251,110.0,,,1.04656,PQ,,0,BOOLTIAGH,BOOLTIAGH,1.0,4.0,4.0,IE,7.2692
1261,110.0,,,0.99444,PQ,,0,BALDONNELL,BALDONNELL,1.0,11.0,11.0,IE,-2.2697
1271,110.0,,,1.00085,PQ,,0,BALTRASNA,BALTRASNA,1.0,7.0,7.0,IE,1.2263
1281,110.0,,,1.02023,PQ,,0,BALLYLICKEY,BALLYLICKEY,1.0,6.0,6.0,IE,8.5733
1301,110.0,,,1.01064,PQ,,0,BALLYBEG,BALLYBEG,1.0,9.0,9.0,IE,4.1606
