station,bus,outside_bus,outside_name,outside_kv,ckt,km,rate1_mva,element,into_region_mw
Corderry,1631,10619,ARIGNA_T,110.0,1,13.68,210.0,1631-10619-1,17.87055584694349
Corderry,1631,2671,GARVAGH,110.0,1,5.83,210.0,1631-2671-1,-0.0
Corraclassy,1981,79016,ENNK_PST,110.0,1,27.5,121.0,1981-79016-1,5.543806649764946
Corraclassy,1981,2821,GORTAWEE,110.0,1,10.9,210.0,1981-2821-1,2.620244097502791
Letterkenny,3581,89516,STRA_PST,110.0,1,22.25,93.0,3581-89516-1,-20.473922115614528
Sligo,4981,1931,CUNGHILL,110.0,1,21.1,210.0,1931-4981-1,-6.387899584043481
Sligo,4981,2521,FLAGFORD,110.0,1,50.5,121.0,2521-4981-1,24.35925334952931
Srananagh 220,5042,2522,FLAGFORD,220.0,1,56.01,513.0,2522-5042-1,92.92796175599005
