circuit,extract_mw,full_mw,difference_mw
1341-5191-1,27.442541217405648,27.452423505991135,-0.009882288585487231
3581-3591-1,-17.77254121740566,-17.78242350599112,0.00988228858545881
3591-5191-1,-17.77254121740563,-17.782423505991062,0.009882288585430388
1341-1701-1,-41.8525412174056,-41.86242350599096,0.009882288585359333
2321-28710-1,-46.886898489130544,-46.87874493952796,-0.008153549602582189
2321-3581-1,46.88689848913066,46.87874493952836,0.008153549602297971
2870-17010-1,-44.42569044910553,-44.41986828167447,-0.005822167431063008
1701-28712-2,44.42569044910553,44.42163032799951,0.004060121106022052
2871-28019-1,41.96448240907921,41.96275367010094,0.001728738978272304
3581-28019-1,-41.96448240907833,-41.96275367010708,-0.0017287389712521417
1701-5041-1,-35.21949625457458,-35.21976212612897,0.0002658715543901735
5041-17010-2,39.36037511377409,39.36010924229633,0.00026587147775813946
4981-5041-1,-18.815472823716163,-18.815472823713037,-3.126388037344441e-12
4981-5041-2,-17.40317341079802,-17.40317341079509,-2.9274360713316128e-12
2870-4091-1,-2.2737367544323206e-13,-9.094947017729282e-13,6.821210263296962e-13
1701-1981-1,-8.164050747267737,-8.164050747267524,-2.1316282072803006e-13
1631-5041-1,17.870555846943503,17.870555846943716,-2.1316282072803006e-13
1571-5191-1,-9.669999999999987,-9.670000000000016,2.842170943040401e-14
1701-1761-1,-20.0,-20.0,0.0
28710-51911-1,0.0,0.0,0.0
2321-4071-1,0.0,0.0,0.0
3581-5361-1,20.070000000000107,20.070000000000107,0.0
4991-5361-1,0.0,0.0,0.0
