name,bus,carrier,p_set
Cathaleen's Fall demand,Cathaleen's Fall,AC,17.04
Binbane demand,Binbane,AC,18.71
Letterkenny demand,Letterkenny,AC,66.08
Trillick demand,Trillick,AC,20.07
Ardnagappary demand,Ardnagappary,AC,9.67
Sligo demand,Sligo,AC,54.19
