circuit,extract_mw,full_mw,difference_mw
2801-2871-1,-2.6549985941499017,6.000000000000057,-8.654998594149959
2871-28019-1,45.79872574908586,54.418280384680656,-8.619554635594795
3581-28019-1,-54.45372434323885,-54.41828038468051,-0.03544395855833926
2321-28710-1,-58.80387767231639,-58.8231318629158,0.019254190599411913
2321-3581-1,67.2998776723166,67.31913186291578,-0.01925419059918454
1341-1701-1,-42.28960280932263,-42.305792577283285,0.016189767960653967
1341-5191-1,30.200602809322646,30.216792577283265,-0.01618976796061844
3591-5191-1,-24.62460280932268,-24.640792577283264,0.016189767960582913
3581-3591-1,-27.674602809322835,-27.690792577283247,0.016189767960412382
1701-28712-2,41.90630100777551,41.892011579379826,0.014289428395684922
1701-5041-1,-41.61350204192662,-41.61762419894465,0.004122157018024097
5041-17010-2,46.50614643459842,46.50202427761394,0.004122156984479375
2870-17010-1,-41.90630100777551,-41.904400668208936,-0.0019003395665748712
4981-5041-1,11.069820639716191,11.069820639710372,5.8193450058752205e-12
4981-5041-2,10.75105617103327,10.751056171027642,5.6274984672199935e-12
2870-4091-1,-9.525000000000318,-9.524999999999864,-4.547473508864641e-13
1631-5041-1,23.042277757199983,23.04227775719977,2.1316282072803006e-13
2321-4071-1,-8.495999999999867,-8.496,1.3322676295501878e-13
28710-51911-1,-13.920000000000073,-13.919999999999959,-1.1368683772161603e-13
3581-5361-1,11.756000000000114,11.756000000000025,8.881784197001252e-14
1701-1981-1,13.377443651651653,13.377443651651696,-4.263256414560601e-14
4991-5361-1,6.3250000000000455,6.325000000000017,2.842170943040401e-14
1571-5191-1,-8.566000000000003,-8.565999999999999,-3.552713678800501e-15
1701-1761-1,-20.0,-20.0,0.0
