circuit,extract_mw,full_mw,difference_mw
2801-2871-1,-1.2101471704884261,0.0,-1.2101471704884261
2871-28019-1,20.875038690925066,22.08044751336047,-1.2054088224354018
1701-28712-2,23.376392467901844,23.368816575679684,0.007575892222160263
3591-5191-1,-10.699424105815666,-10.704565427353856,0.0051413215381899136
1341-1701-1,-20.70942410581567,-20.714565427353854,0.005141321538182808
1341-5191-1,13.68942410581569,13.694565427353865,-0.005141321538175703
3581-3591-1,-10.699424105815723,-10.704565427353856,0.00514132153813307
3581-28019-1,-22.085185861416434,-22.08044751336066,-0.004738348055774111
1701-5041-1,-17.453032934189615,-17.45602857038159,0.002995636191975848
5041-17010-2,19.505046812630923,19.50205117644406,0.002995636186863493
2870-17010-1,-23.376392467901844,-23.378827038594054,0.0024345706922090926
2321-3581-1,24.667599074389443,24.667196100908654,0.0004029734807886598
2321-28710-1,-24.667599074389372,-24.667196100908633,-0.0004029734807389218
4981-5041-1,2.594696746125628,2.594696746124832,7.958078640513122e-13
4981-5041-2,2.5199803476769844,2.51998034767621,7.744915819785092e-13
2870-4091-1,-2.2737367544323206e-13,0.0,-2.2737367544323206e-13
1631-5041-1,2.8184791686749477,2.818479168674912,3.552713678800501e-14
3581-5361-1,6.270000000000039,6.2700000000000315,7.105427357601002e-15
1701-1981-1,3.5158707052013263,3.5158707052013307,-4.440892098500626e-15
1701-1761-1,0.0,0.0,0.0
1571-5191-1,-2.989999999999995,-2.989999999999995,0.0
28710-51911-1,0.0,0.0,0.0
2321-4071-1,0.0,0.0,0.0
4991-5361-1,0.0,0.0,0.0
