station,bus,outside_bus,outside_name,outside_kv,ckt,km,rate1_mva,element,into_region_mw
Corderry,1631,10619,ARIGNA_T,110.0,1,13.68,210.0,1631-10619-1,2.881277757199939
Corderry,1631,2671,GARVAGH,110.0,1,5.83,210.0,1631-2671-1,12.200000000000045
Corraclassy,1981,79016,ENNK_PST,110.0,1,27.5,121.0,1981-79016-1,-6.486361200040427
Corraclassy,1981,2821,GORTAWEE,110.0,1,10.9,210.0,1981-2821-1,-6.891082451611226
Letterkenny,3581,89516,STRA_PST,110.0,1,22.25,123.0,3581-89516-1,-69.45920482487794
Sligo,4981,1931,CUNGHILL,110.0,1,21.1,210.0,1931-4981-1,70.70511936374649
Sligo,4981,2521,FLAGFORD,110.0,1,50.5,121.0,2521-4981-1,10.222757447002977
Srananagh 220,5042,2522,FLAGFORD,220.0,1,56.01,513.0,2522-5042-1,43.25649390862111
