station,bus,outside_bus,outside_name,outside_kv,ckt,km,rate1_mva,element,into_region_mw
Corderry,1631,10619,ARIGNA_T,110.0,1,13.68,178.0,1631-10619-1,2.8184791686749406
Corderry,1631,2671,GARVAGH,110.0,1,5.83,178.0,1631-2671-1,-0.0
Corraclassy,1981,79016,ENNK_PST,110.0,1,27.5,99.0,1981-79016-1,8.372368046125315
Corraclassy,1981,2821,GORTAWEE,110.0,1,10.9,178.0,1981-2821-1,-11.88823875132664
Letterkenny,3581,89516,STRA_PST,110.0,1,22.25,105.0,3581-89516-1,-33.55220904162151
Sligo,4981,1931,CUNGHILL,110.0,1,21.1,178.0,1931-4981-1,21.19095117651985
Sligo,4981,2521,FLAGFORD,110.0,1,50.5,99.0,2521-4981-1,3.523725917282764
Srananagh 220,5042,2522,FLAGFORD,220.0,1,56.01,434.0,2522-5042-1,29.0249234843497
