name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse
1021,110.0,,,1.07114,PQ,10271-1,0,ARDNACRUSHA,ARDNACRUSHA,1.0,4.0,4.0,IE,0.3855
1041,110.0,,,1.06492,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,9.1349
1042,220.0,,,1.06,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,13.7731
1052,220.0,,,1.06,PQ,10472-11,0,AGHADA_B,AGHADA_B,1.0,10.0,10.0,IE,13.7731
1061,110.0,,,1.11127,PQ,,0,ARIGNA,ARIGNA,1.0,1.0,1.0,IE,-13.1098
1062,220.0,,,1.06,PQ,10474-14,0,AGH_AT14,AGH_AT14,1.0,10.0,10.0,IE,13.7731
1071,110.0,,,1.08611,PQ,,0,AGANNYGAL,AGANNYGAL,1.0,4.0,4.0,IE,-1.084
1072,220.0,,,1.05995,PQ,,0,AGHT2102,AGHT2102,1.0,10.0,10.0,IE,13.7505
1081,110.0,,,1.06966,PQ,,0,AHANE,AHANE,1.0,8.0,8.0,IE,1.0203
1091,110.0,,,1.0545,PQ,,0,ADAMSTOWN,ADAMSTOWN,1.0,11.0,11.0,IE,-9.2247
1101,110.0,,,1.0617,PQ,,0,ANNER,ANNER,1.0,8.0,8.0,IE,-2.065
1121,110.0,,,1.06824,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,-4.3123
1122,220.0,,,1.05964,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,-2.2377
1131,110.0,,,1.09236,PQ,,0,ATHEA,ATHEA,1.0,5.0,5.0,IE,4.7469
1141,110.0,,,1.11155,PQ,,0,ATHLONE,ATHLONE,1.0,3.0,3.0,IE,-5.6895
1161,110.0,,,1.05,PQ,,0,AUGHINISH,AUGHINISH,1.0,5.0,5.0,IE,5.2788
1181,110.0,,,1.0755,PQ,,0,ARVA,ARVA,1.0,7.0,7.0,IE,-14.083
1201,110.0,,,1.0577,PQ,,0,ARTANE,ARTANE,1.0,11.0,11.0,IE,-5.4065
1211,110.0,,,1.05,PQ,12101-XX,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,6.7548
1212,220.0,,,1.0621,PQ,,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,6.7535
1221,110.0,,,1.04903,PQ,,0,ATHY,ATHY,1.0,11.0,11.0,IE,-5.5909
1231,110.0,,,1.07199,PQ,,0,BALLYWATER,BALLYWATER,1.0,9.0,9.0,IE,-2.947
1251,110.0,,,1.08593,PQ,,0,BOOLTIAGH,BOOLTIAGH,1.0,4.0,4.0,IE,0.3591
1271,110.0,,,1.04784,PQ,,0,BALTRASNA,BALTRASNA,1.0,7.0,7.0,IE,-9.5777
1281,110.0,,,1.06049,PQ,,0,BALLYLICKEY,BALLYLICKEY,1.0,6.0,6.0,IE,3.9018
1301,110.0,,,1.06382,PQ,,0,BALLYBEG,BALLYBEG,1.0,9.0,9.0,IE,-5.2456
1311,110.0,,,1.05189,PQ,,0,CORDAL,CORDAL,1.0,5.0,5.0,IE,6.1889
1321,110.0,,,1.04744,PQ,13271-1,0,BLAKE,BLAKE,1.0,11.0,11.0,IE,-7.8502
1331,110.0,,,1.06126,PQ,,0,BLUNDELSTOWN,BLUNDELSTOWN,1.0,11.0,11.0,IE,-8.3992
1341,110.0,,,1.0841,PQ,13434-10,0,BINBANE,BINBANE,1.0,1.0,1.0,IE,-19.8123
1351,110.0,,,1.05099,PQ,,0,BARODA,BARODA,1.0,11.0,11.0,IE,-8.0025
1361,110.0,,,1.0568,PQ,,0,BALLYDINE,BALLYDINE,1.0,8.0,8.0,IE,-1.4674
1371,110.0,,,1.05027,PQ,,0,BARNAGEERAGH,BARNAGEERAGH,1.0,11.0,11.0,IE,-7.9021
1381,110.0,,,1.06307,PQ,,0,BARNAHELY,BARNAHELY,1.0,10.0,10.0,IE,8.1194
1401,110.0,,,1.17834,PQ,,0,BELLACORICK,BELLACORICK,1.0,2.0,2.0,IE,-15.4333
1411,110.0,,,1.06648,PQ,,0,AIRTON,AIRTON,1.0,11.0,11.0,IE,-7.7209
1421,110.0,,,1.06377,PQ,,0,BLACKROCK,BLACKROCK,1.0,11.0,11.0,IE,-9.1648
1431,110.0,,,1.05091,PQ,,0,BALLYRAGGET,BALLYRAGGET,1.0,9.0,9.0,IE,-6.0675
1441,110.0,,,1.06379,PQ,,0,BANDON,BANDON,1.0,6.0,6.0,IE,5.0242
1451,110.0,,,1.05031,PQ,,0,CLOGHRAN,CLOGHRAN,1.0,11.0,11.0,IE,-7.8945
1461,110.0,,,1.05724,PQ,,0,BARRYMORE,BARRYMORE,1.0,8.0,8.0,IE,3.69
1471,110.0,,,1.04889,PQ,,0,BELCAMP,BELCAMP,1.0,11.0,11.0,IE,-6.2051
1472,220.0,,,1.05954,PQ,,0,BELCAMP,BELCAMP,1.0,11.0,11.0,IE,-2.2955
1481,110.0,,,1.05307,PQ,,0,BUTLERSTOWN,BUTLERSTOWN,1.0,12.0,12.0,IE,-0.3921
1491,110.0,,,1.0472,PQ,,0,DEENES,DEENES,1.0,7.0,7.0,IE,-10.4496
1501,110.0,,,1.06368,PQ,,0,BRINNY,BRINNY,1.0,6.0,6.0,IE,5.0161
1511,110.0,,,1.09435,PQ,,0,CLOGHBOOLA,CLOGHBOOLA,1.0,5.0,5.0,IE,4.716
