circuit,extract_mw,full_mw,difference_mw
1341-1701-1,-22.13304821100438,-21.052245200593916,-1.0808030104104631
3591-5191-1,-12.093048211004401,-11.01224520059398,-1.0808030104104205
1341-5191-1,15.093048211004373,14.01224520059398,1.080803010410392
2321-3581-1,24.56568542154622,25.20497446037342,-0.6392890388272008
2321-28710-1,-24.565685421546334,-25.204974460373208,0.6392890388268739
2870-17010-1,-23.343001230732227,-23.88821125348393,0.5452100227517036
1701-28712-2,23.343001230732227,23.878594218410257,-0.5355929876780294
3581-28019-1,-22.12031703991822,-22.56183101150539,0.4415139715871703
1701-5041-1,-35.53656277354081,-35.53946401624205,0.002901242701241813
5041-17010-2,39.71472024785331,39.71181900517378,0.002901242679527627
4981-5041-1,20.019548396210247,20.019548396210553,-3.055333763768431e-13
4981-5041-2,18.516870429424486,18.516870429424777,-2.913225216616411e-13
1631-5041-1,0.9195893113733504,0.9195893113733788,-2.842170943040401e-14
3581-5361-1,6.290000000000077,6.290000000000063,1.4210854715202004e-14
1571-5191-1,-3.0,-3.0,0.0
1701-1981-1,0.4322323489252682,0.4322323489252682,0.0
28710-51911-1,0.0,0.0,0.0
4991-5361-1,0.0,0.0,0.0
