name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse
3481,110.0,,,1.05128,PQ,34872-1,0,COOLNANOONAG,COOLNANOONAG,1.0,5.0,5.0,IE,10.0685
3491,110.0,,,1.04529,PQ,34971-1,0,LISLEA,LISLEA,1.0,7.0,7.0,IE,-5.5022
3501,110.0,,,1.04158,PQ,35071-1,0,LANESBORO_A1,LANESBORO_A1,1.0,3.0,3.0,IE,1.2108
3511,110.0,,,1.03356,PQ,35171-1,0,LICKNY,LICKNY,1.0,3.0,3.0,IE,-2.8767
3521,110.0,,,1.0639,PQ,35271-1,0,LOUTHA,LOUTHA,1.0,7.0,7.0,IE,-3.6696
3522,220.0,,,1.0448,PQ,,0,LOUTH,LOUTH,1.0,7.0,7.0,IE,-1.0646
3531,110.0,,,1.03419,PQ,35371-1,0,LYSAGHTSTOWN,LYSAGHTSTOWN,1.0,10.0,10.0,IE,12.5994
3541,110.0,,,1.04169,PQ,35471-1,0,LIMERICK,LIMERICK,1.0,5.0,5.0,IE,7.9263
3550,110.0,,,1.04992,PQ,,0,COOLNABACKY_,COOLNABACKY_,1.0,11.0,11.0,IE,4.3954
3551,110.0,,,1.03282,PQ,35571-1,0,COOLNABACKY,COOLNABACKY,1.0,11.0,11.0,IE,1.8897
3554,380.0,,,1.04992,PQ,,0,COOLNABACKY,COOLNABACKY,1.0,11.0,11.0,IE,4.3954
3561,110.0,,,1.0514,PQ,67144-1,0,LISDRUM,LISDRUM,1.0,7.0,7.0,IE,-6.0224
3571,110.0,,,1.03513,PQ,35772-1,0,DERRYCARNEY,DERRYCARNEY,1.0,3.0,3.0,IE,7.8776
3581,110.0,,,1.03646,PQ,35871-1,0,LETTERKENNY,LETTERKENNY,1.0,1.0,1.0,IE,-11.8474
3591,110.0,,,1.03798,PQ,35971-1,0,LENALEA,LENALEA,1.0,1.0,1.0,IE,-11.1792
3601,110.0,,,1.04549,PQ,,0,LIBERTY ST,LIBERTY ST,1.0,10.0,10.0,IE,11.3784
3611,110.0,,,1.04575,PQ,,0,LIBERTY ST,LIBERTY ST,1.0,10.0,10.0,IE,11.3895
3621,110.0,,,1.05,PQ,36273-1,0,LISHEEN,LISHEEN,1.0,8.0,8.0,IE,7.64
3631,110.0,,,1.05,PQ,,0,FREAGH,FREAGH,1.0,8.0,8.0,IE,7.9168
3641,110.0,,,1.04915,PQ,36477-1,0,LODGEWOOD,LODGEWOOD,1.0,9.0,9.0,IE,5.9234
3642,220.0,,,1.048,PQ,,0,LODGEWOOD,LODGEWOOD,1.0,9.0,9.0,IE,6.9663
3651,110.0,,,1.03775,PQ,,0,BARNAKYLE,BARNAKYLE,1.0,11.0,11.0,IE,-6.8819
3662,220.0,,,1.06034,PQ,,0,LOUGHTOWN,LOUGHTOWN,1.0,9.0,9.0,IE,12.8057
3681,110.0,,,1.03787,PQ,,0,AUNGIERSTOWN,AUNGIERSTOWN,1.0,11.0,11.0,IE,-6.8586
3691,110.0,,,1.05027,PQ,36971-1,0,LAGHTANVACK,LAGHTANVACK,1.0,2.0,2.0,IE,9.7587
